type;value;display;exclude
herbs;麻黃;麻黃;
herbs;桂枝;桂枝;
herbs;紫蘇;紫蘇;
herbs;生薑;生薑;
herbs;荊芥;荊芥;
herbs;防風;防風;
herbs;羌活;羌活;
herbs;白芷;白芷;
herbs;辛夷;辛夷;
herbs;蒼耳子;蒼耳子;
herbs;蒿本;蒿本;
herbs;香薷;香薷;
herbs;蔥白;蔥白;
herbs;薄荷;薄荷;
herbs;牛蒡子;牛蒡子;
herbs;桑葉;桑葉;
herbs;菊花;菊花;
herbs;柴胡;柴胡;
herbs;葛根;葛根;
herbs;升麻;升麻;
herbs;蟬蛻;蟬蛻;
herbs;豆豉;豆豉;
herbs;蔓荊子;蔓荊子;
herbs;石膏;石膏;
herbs;知母;知母;
herbs;梔子;梔子;
herbs;淡竹葉;淡竹葉;
herbs;天花粉;天花粉;
herbs;蘆根;蘆根;
herbs;夏枯草;夏枯草;
herbs;密蒙花;密蒙花;
herbs;金銀花;金銀花;
herbs;連翹;連翹;
herbs;大青葉;大青葉;
herbs;板藍根;板藍根;
herbs;射干;射干;
herbs;青黛;青黛;
herbs;山豆根;山豆根;
herbs;蒲公英;蒲公英;
herbs;紫花地丁;紫花地丁;
herbs;白頭翁;白頭翁;
herbs;白花蛇舌草;白花蛇舌草;
herbs;秦皮;秦皮;
herbs;白蘚皮;白蘚皮;
herbs;魚腥草;魚腥草;
herbs;綠豆衣;綠豆衣;
herbs;牛黃;牛黃;
herbs;熊膽;熊膽;
herbs;黃芩;黃芩;
herbs;黃連;黃連;
herbs;黃柏;黃柏;
herbs;龍膽草;龍膽草;
herbs;苦參;苦參;
herbs;生地;生地;[地黃,熟地]
herbs;犀角;犀角;
herbs;丹皮;丹皮;
herbs;玄參;玄參;
herbs;赤芍;赤芍;
herbs;紫草;紫草;
herbs;地骨皮;地骨皮;
herbs;青蒿;青蒿;
herbs;白薇;白薇;
herbs;銀柴胡;銀柴胡;
herbs;胡黃連;胡黃連;
herbs;大黃;大黃;
herbs;芒硝;芒硝;
herbs;番瀉葉;番瀉葉;
herbs;蘆薈;蘆薈;
herbs;火麻仁;火麻仁;
herbs;郁李仁;郁李仁;
herbs;干遂;干遂;
herbs;大戟;大戟;
herbs;芫花;芫花;
herbs;巴豆;巴豆;
herbs;牽牛子;牽牛子;
herbs;商陸;商陸;
herbs;獨活;獨活;
herbs;防己;防己;
herbs;秦艽;秦艽;
herbs;威靈仙;威靈仙;
herbs;木瓜;木瓜;
herbs;桑枝;桑枝;
herbs;桑寄生;桑寄生;
herbs;絡石藤;絡石藤;
herbs;五加皮;五加皮;
herbs;徐長卿;徐長卿;
herbs;海桐皮;海桐皮;
herbs;蠶砂;蠶砂;
herbs;蛇蛻;蛇蛻;
herbs;虎骨;虎骨;
herbs;蒼朮;蒼朮;
herbs;厚朴;厚朴;
herbs;藿香;藿香;
