group;type;answer;description;hints;params
組成(藥→方);select_all;[麻黃,桂枝,杏仁,甘草];{name}的組成是？;[解表辛溫,風寒表證];{"name":"麻黃湯"}
組成(藥→方);select_all;[荊芥,防風,羌活,獨活,柴胡,前胡,桔梗,川芎,枳殼,茯苓,甘草];{name}的組成是？;[解表辛溫,表風寒(濕)];{"name":"荊防敗毒散"}
組成(藥→方);select_all;[羌活,防風,白芷,蒼朮,細辛,川芎,黃芩,生地,甘草];{name}的組成是？;[解表辛溫,表風寒濕];{"name":"九味羌活湯"}
組成(藥→方);select_all;[桂枝,白芍,甘草,生薑,大棗];{name}的組成是？;[解表辛溫,表虛風寒];{"name":"桂枝湯"}
組成(藥→方);select_all;[麻黃,桂枝,白芍,半夏,乾薑,細辛,五味子,炙甘草];{name}的組成是？;[解表辛溫,表風寒,內飲];{"name":"小青龍湯"}
組成(藥→方);select_all;[射干,麻黃,紫苑,款冬,細辛,五味子,半夏,生薑,大棗];{name}的組成是？;[解表辛溫,表風寒,內飲];{"name":"射干麻黃湯"}
組成(藥→方);select_all;[紫蘇,香附,陳皮,炙甘草];{name}的組成是？;[解表辛溫,表風寒氣滯];{"name":"香蘇散"}
組成(藥→方);select_all;[銀花,連翹,荊芥,牛蒡子,豆豉,薄荷,桔梗,甘草,蘆根,竹葉];{name}的組成是？;[解表辛涼,溫病初起];{"name":"銀翹散"}
組成(藥→方);select_all;[桑葉,菊花,連翹,薄荷,杏仁,桔梗,蘆根,甘草];{name}的組成是？;[解表辛涼,風溫初起];{"name":"桑菊飲"}
組成(藥→方);select_all;[柴胡,葛根,羌活,白芷,黃芩,石膏,桔梗,白芍,生薑,大棗,甘草];{name}的組成是？;[解表辛涼,風寒化熱];{"name":"柴葛解肌湯"}
組成(藥→方);select_all;[麻黃,杏仁,石膏,炙甘草];{name}的組成是？;[解表辛涼,表證肺熱];{"name":"麻杏石甘湯"}
組成(藥→方);select_all;[升麻,葛根,白芍,甘草];{name}的組成是？;[解表辛涼,表證透疹];{"name":"升麻葛根湯"}
組成(藥→方);select_all;[麻黃,附子,細辛];{name}的組成是？;[解表扶正,表風寒,陽虛];{"name":"麻黃附子細辛湯"}
組成(藥→方);select_all;[人參,甘草,茯苓,川芎,枳殼,桔梗,柴胡,前胡,羌活,獨活,薄荷,生薑];{name}的組成是？;[解表扶正,表風寒濕,氣虛];{"name":"人參敗毒散"}
組成(藥→方);select_all;[人參,紫蘇,葛根,前胡,桔梗,枳殼,木香,陳皮,半夏,茯苓,炙甘草];{name}的組成是？;[解表扶正,表風寒,痰,氣虛];{"name":"參蘇飲"}
組成(藥→方);select_all;[人參,黃耆,桂枝,白芍,炙甘草,生薑,大棗,附子,細辛,羌活,防風,川芎];{name}的組成是？;[解表扶正,表風寒,陽虛(脈弱)];{"name":"再造散"}
組成(藥→方);select_all;[蔥白,豆豉,葛根,生薑,生地,麥冬,勞水];{name}的組成是？;[解表扶正,表證血虛];{"name":"蔥白七味飲"}
組成(藥→方);select_all;[葳蕤,蔥白,桔梗,白薇,豆豉,薄荷,炙甘草,大棗];{name}的組成是？;[解表扶正,表風熱,陰虛];{"name":"加減葳蕤湯"}
組成(藥→方);select_all;[大黃,芒硝,枳實,厚朴];{name}的組成是？;[瀉下寒下,熱結];{"name":"大承氣湯"}
組成(藥→方);select_all;[大黃,芒硝,甘草];{name}的組成是？;[瀉下寒下,熱結(輕)];{"name":"調胃承氣湯"}
組成(藥→方);select_all;[大黃,芒硝,牡丹皮,桃仁,冬瓜仁];{name}的組成是？;[瀉下寒下,腸癰膿未成];{"name":"大黃牡丹皮湯"}
組成(藥→方);select_all;[大黃,芒硝,甘遂];{name}的組成是？;[瀉下寒下,結胸便祕];{"name":"大陷胸湯"}
組成(藥→方);select_all;[甘遂,大黃,桃仁,赤芍,牛膝];{name}的組成是？;[瀉下寒下,腸梗阻];{"name":"甘遂通結湯"}
組成(藥→方);select_all;[巴豆,乾薑,大黃];{name}的組成是？;[瀉下溫下,寒積];{"name":"三物備急丸"}
組成(藥→方);select_all;[大黃,附子,細辛];{name}的組成是？;[瀉下溫下,寒證便祕];{"name":"大黃附子湯"}
組成(藥→方);select_all;[大黃,枳實,厚朴,麻子仁,杏仁,白芍,蜂蜜];{name}的組成是？;[瀉下潤下,燥熱陰虛便祕];{"name":"麻子仁丸"}
組成(藥→方);select_all;[當歸,牛膝,肉蓯蓉,澤瀉,升麻,枳殼];{name}的組成是？;[瀉下潤下,腎虛便祕];{"name":"濟川煎"}
組成(藥→方);select_all;[甘遂,芫花,大戟,大棗];{name}的組成是？;[瀉下逐水,懸飲,水腫];{"name":"十棗湯"}
組成(藥→方);select_all;[甘遂,大戟,芫花,大黃,牽牛子,檳榔,輕粉,木香,陳皮,青皮];{name}的組成是？;[瀉下逐水,水熱結,氣滯];{"name":"舟車丸"}
組成(藥→方);select_all;[生地,玄參,麥冬,大黃,芒硝,人參,海參,當歸,連心,生甘草,生薑汁];{name}的組成是？;[瀉下攻補,熱結,氣陰虛];{"name":"新加黃龍湯"}
組成(藥→方);select_all;[大黃,芒硝,枳實,厚朴,人參,當歸,桔梗,甘草,生薑,大棗];{name}的組成是？;[瀉下攻補,熱結,氣血虛];{"name":"黃龍湯"}
組成(藥→方);select_all;[生地,玄參,麥冬,大黃,芒硝];{name}的組成是？;[瀉下攻補,滋陰瀉熱];{"name":"增液承氣湯"}
組成(藥→方);select_all;[大黃,芒硝,人參,當歸,甘草,附子,乾薑];{name}的組成是？;[瀉下攻補,寒積,脾陽虛];{"name":"溫脾湯"}
組成(藥→方);select_all;[人參,白朮,茯苓,炙甘草];{name}的組成是？;[補益補氣,脾虛];{"name":"四君子湯"}
組成(藥→方);select_all;[人參,白朮,茯苓,炙甘草,山藥,扁豆,蓮子,薏仁,砂仁,桔梗];{name}的組成是？;[補益補氣,脾虛,濕];{"name":"參苓白朮散"}
組成(藥→方);select_all;[黃耆,人參(黨參),白朮,炙甘草,當歸,陳皮,升麻,柴胡];{name}的組成是？;[補益補氣,脾虛,陷];{"name":"補中益氣湯"}
組成(藥→方);select_all;[黃耆,知母,桔梗,升麻,柴胡];{name}的組成是？;[補益補氣,];{"name":"升陷湯"}
組成(藥→方);select_all;[黃耆,人參,白朮,茯苓,炙甘草,陳皮,半夏,黃連,生薑,大棗,白芍,柴胡,澤瀉,羌活,獨活,防風];{name}的組成是？;[補益補氣,脾虛,濕熱];{"name":"升陽益胃湯"}
組成(藥→方);select_all;[黃耆,人參,炙甘草,蔓荊子,白芍,葛根,升麻,黃柏];{name}的組成是？;[補益補氣,清陽不升];{"name":"益氣聰明湯"}
組成(藥→方);select_all;[人參,蛤蚧,知母,貝母,桑白皮,杏仁,茯苓,炙甘草];{name}的組成是？;[補益補氣,肺虛,熱痰];{"name":"人參蛤蚧散"}
組成(藥→方);select_all;[人參,麥冬,五味子];{name}的組成是？;[補益補氣,氣陰兩虛];{"name":"生脈散"}
組成(藥→方);select_all;[黃耆,白朮,防風];{name}的組成是？;[補益補氣,衛氣虛];{"name":"玉屏風散"}
組成(藥→方);select_all;[黃耆,人參,茯神,白朮,炙甘草,當歸,遠志,酸棗仁,龍眼,木香,生薑,大棗];{name}的組成是？;[補益補血,心脾血虛];{"name":"歸脾湯"}
組成(藥→方);select_all;[當歸,川芎,白芍,熟地];{name}的組成是？;[補益補血,肝血虛];{"name":"四物湯"}
組成(藥→方);select_all;[當歸,黃耆];{name}的組成是？;[補益補血,氣血虛];{"name":"當歸補血湯"}
組成(藥→方);select_all;[桂枝,附子,生地,山茱萸,山藥,茯苓,澤瀉,丹皮];{name}的組成是？;[補益補陽,腎陽虛];{"name":"腎氣丸"}
組成(藥→方);select_all;[熟地,山藥,山茱萸,當歸,肉桂,附子,杜仲,菟絲子,鹿角膠,枸杞];{name}的組成是？;[補益補陽,命門虛];{"name":"右歸丸"}
組成(藥→方);select_all;[熟地,山藥,山茱萸,茯苓,澤瀉,丹皮];{name}的組成是？;[補益補陰,腎陰虛];{"name":"六味地黃丸"}
組成(藥→方);select_all;[熟地,山藥,山茱萸,牛膝,龜板,菟絲子,鹿角膠,枸杞];{name}的組成是？;[補益補陰,真陰不足];{"name":"左歸丸"}
組成(藥→方);select_all;[熟地,龜板,知母,黃柏,豬骨髓,蜂蜜];{name}的組成是？;[補益補陰,肝腎陰虛火旺];{"name":"大補陰丸"}
組成(藥→方);select_all;[生地,枸杞,沙參,麥冬,當歸,川楝子];{name}的組成是？;[補益補陰,肝陰虛氣滯];{"name":"一貫煎"}
組成(藥→方);select_all;[阿膠,馬兜鈴,牛蒡子,杏仁,糯米,炙甘草];{name}的組成是？;[補益補陰,肺陰虛熱];{"name":"補肺阿膠湯"}
組成(藥→方);select_all;[百合,生地,熟地,玄參,麥冬,白芍,貝母,桔梗,當歸,生甘草];{name}的組成是？;[補益補陰,肺腎陰虛];{"name":"百合固金湯"}
組成(藥→方);select_all;[生地,麥冬,沙參,玉竹,冰糖];{name}的組成是？;[補益補陰,胃陰虛];{"name":"益胃湯"}
組成(藥→方);select_all;[人參,茯苓,白朮,炙甘草,熟地,白芍,當歸,川芎];{name}的組成是？;[補益氣血,氣血虛];{"name":"八珍湯"}
組成(藥→方);select_all;[熟地,當歸,白芍,川芎,人參,黃耆];{name}的組成是？;[補益氣血,氣血虛];{"name":"聖愈湯"}
組成(藥→方);select_all;[人參,炙甘草,桂枝,生薑,大棗,生地,麥冬,阿膠,麻子仁,清酒];{name}的組成是？;[補益氣血,氣陰血虛];{"name":"炙甘草湯"}
組成(藥→方);select_all;[熟地,麥冬,石斛,茯苓,肉桂,附子,肉蓯蓉,巴戟天,山茱萸,五味子,遠志,石菖蒲,薄荷,生薑,大棗];{name}的組成是？;[補益陰陽,陰虛陽浮,痰閉];{"name":"地黃飲子"}
組成(藥→方);select_all;[龜板,鹿角膠,人參,枸杞];{name}的組成是？;[補益陰陽,陰陽精血虛];{"name":"龜鹿二仙膠"}
組成(藥→方);select_all;[何首烏,菟絲子,枸杞,牛膝,當歸,補骨脂,茯苓];{name}的組成是？;[補益陰陽,肝腎虛];{"name":"七寶美髯丹"}
組成(藥→方);select_all;[石膏,知母,炙甘草,梗米];{name}的組成是？;[清熱清氣,陽明熱燥];{"name":"白虎湯"}
組成(藥→方);select_all;[竹葉,石膏,麥冬,人參,半夏,炙甘草,梗米];{name}的組成是？;[清熱清氣,暑熱傷津,胃氣不合];{"name":"竹葉石膏湯"}
組成(藥→方);select_all;[犀角,生地,玄參,麥冬,銀花,連翹,黃連,竹葉,丹參];{name}的組成是？;[清熱涼血,清營養陰];{"name":"清營湯"}
組成(藥→方);select_all;[犀角,生地,白芍,丹皮];{name}的組成是？;[清熱涼血,清營涼血];{"name":"犀角地黃湯"}
組成(藥→方);select_all;[犀角,生地,白芍,丹皮,玄參,石膏,知母,竹葉,梔子,連翹,黃芩,黃連,桔梗];{name}的組成是？;[清熱涼血,瘟疫熱毒];{"name":"清瘟敗毒飲"}
組成(藥→方);select_all;[黃芩,黃連,黃柏,梔子];{name}的組成是？;[清熱解毒,三焦熱毒];{"name":"黃連解毒湯"}
