group;type;answer;description;hints;params
藥;select;辛溫解表藥;{name}的類型？;;{"name":"麻黃"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"桂枝"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"紫蘇"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"生薑"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"荊芥"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"防風"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"羌活"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"白芷"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"辛夷"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"蒼耳子"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"蒿本"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"香薷"}
藥;select;辛溫解表藥;{name}的類型？;;{"name":"蔥白"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"薄荷"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"牛蒡子"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"桑葉"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"菊花"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"柴胡"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"葛根"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"升麻"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"蟬蛻"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"豆豉"}
藥;select;辛涼解表藥;{name}的類型？;;{"name":"蔓荊子"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"石膏"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"知母"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"梔子"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"淡竹葉"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"天花粉"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"蘆根"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"夏枯草"}
藥;select;清熱瀉火藥;{name}的類型？;;{"name":"密蒙花"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"金銀花"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"連翹"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"大青葉"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"板藍根"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"射干"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"青黛"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"山豆根"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"蒲公英"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"紫花地丁"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"白頭翁"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"白花蛇舌草"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"秦皮"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"白蘚皮"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"魚腥草"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"綠豆衣"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"牛黃"}
藥;select;清熱解毒藥;{name}的類型？;;{"name":"熊膽"}
藥;select;清熱燥濕藥;{name}的類型？;;{"name":"黃芩"}
藥;select;清熱燥濕藥;{name}的類型？;;{"name":"黃連"}
藥;select;清熱燥濕藥;{name}的類型？;;{"name":"黃柏"}
藥;select;清熱燥濕藥;{name}的類型？;;{"name":"龍膽草"}
藥;select;清熱燥濕藥;{name}的類型？;;{"name":"苦參"}
藥;select;清熱涼血藥;{name}的類型？;;{"name":"生地"}
藥;select;清熱涼血藥;{name}的類型？;;{"name":"犀角"}
藥;select;清熱涼血藥;{name}的類型？;;{"name":"丹皮"}
藥;select;清熱涼血藥;{name}的類型？;;{"name":"玄參"}
藥;select;清熱涼血藥;{name}的類型？;;{"name":"赤芍"}
藥;select;清熱涼血藥;{name}的類型？;;{"name":"紫草"}
藥;select;清虛熱藥;{name}的類型？;;{"name":"地骨皮"}
藥;select;清虛熱藥;{name}的類型？;;{"name":"青蒿"}
藥;select;清虛熱藥;{name}的類型？;;{"name":"白薇"}
藥;select;清虛熱藥;{name}的類型？;;{"name":"銀柴胡"}
藥;select;清虛熱藥;{name}的類型？;;{"name":"胡黃連"}
藥;select;攻下藥;{name}的類型？;;{"name":"大黃"}
藥;select;攻下藥;{name}的類型？;;{"name":"芒硝"}
藥;select;攻下藥;{name}的類型？;;{"name":"番瀉葉"}
藥;select;攻下藥;{name}的類型？;;{"name":"蘆薈"}
藥;select;潤下藥;{name}的類型？;;{"name":"火麻仁"}
藥;select;潤下藥;{name}的類型？;;{"name":"郁李仁"}
藥;select;峻下藥;{name}的類型？;;{"name":"干遂"}
藥;select;峻下藥;{name}的類型？;;{"name":"大戟"}
藥;select;峻下藥;{name}的類型？;;{"name":"芫花"}
藥;select;峻下藥;{name}的類型？;;{"name":"巴豆"}
藥;select;峻下藥;{name}的類型？;;{"name":"牽牛子"}
藥;select;峻下藥;{name}的類型？;;{"name":"商陸"}
藥;select;祛風除濕藥;{name}的類型？;;{"name":"獨活"}
