type;value;display;exclude
herb;辛溫解表藥;麻黃;
herb;辛溫解表藥;桂枝;
herb;辛溫解表藥;紫蘇;
herb;辛溫解表藥;生薑;
herb;辛溫解表藥;荊芥;
herb;辛溫解表藥;防風;
herb;辛溫解表藥;羌活;
herb;辛溫解表藥;白芷;
herb;辛溫解表藥;辛夷;
herb;辛溫解表藥;蒼耳子;
herb;辛溫解表藥;蒿本;
herb;辛溫解表藥;香薷;
herb;辛溫解表藥;蔥白;
herb;辛涼解表藥;薄荷;
herb;辛涼解表藥;牛蒡子;
herb;辛涼解表藥;桑葉;
herb;辛涼解表藥;菊花;
herb;辛涼解表藥;柴胡;
herb;辛涼解表藥;葛根;
herb;辛涼解表藥;升麻;
herb;辛涼解表藥;蟬蛻;
herb;辛涼解表藥;豆豉;
herb;辛涼解表藥;蔓荊子;
herb;清熱瀉火藥;石膏;
herb;清熱瀉火藥;知母;
herb;清熱瀉火藥;梔子;
herb;清熱瀉火藥;淡竹葉;
herb;清熱瀉火藥;天花粉;
herb;清熱瀉火藥;蘆根;
herb;清熱瀉火藥;夏枯草;
herb;清熱瀉火藥;密蒙花;
herb;清熱解毒藥;金銀花;
herb;清熱解毒藥;連翹;
herb;清熱解毒藥;大青葉;
herb;清熱解毒藥;板藍根;
herb;清熱解毒藥;射干;
herb;清熱解毒藥;青黛;
herb;清熱解毒藥;山豆根;
herb;清熱解毒藥;蒲公英;
herb;清熱解毒藥;紫花地丁;
herb;清熱解毒藥;白頭翁;
herb;清熱解毒藥;白花蛇舌草;
herb;清熱解毒藥;秦皮;
herb;清熱解毒藥;白蘚皮;
herb;清熱解毒藥;魚腥草;
herb;清熱解毒藥;綠豆衣;
herb;清熱解毒藥;牛黃;
herb;清熱解毒藥;熊膽;
herb;清熱燥濕藥;黃芩;
herb;清熱燥濕藥;黃連;
herb;清熱燥濕藥;黃柏;
herb;清熱燥濕藥;龍膽草;
herb;清熱燥濕藥;苦參;
herb;清熱涼血藥;生地;
herb;清熱涼血藥;犀角;
herb;清熱涼血藥;丹皮;
herb;清熱涼血藥;玄參;
herb;清熱涼血藥;赤芍;
herb;清熱涼血藥;紫草;
herb;清虛熱藥;地骨皮;
herb;清虛熱藥;青蒿;
herb;清虛熱藥;白薇;
herb;清虛熱藥;銀柴胡;
herb;清虛熱藥;胡黃連;
herb;攻下藥;大黃;
herb;攻下藥;芒硝;
herb;攻下藥;番瀉葉;
herb;攻下藥;蘆薈;
herb;潤下藥;火麻仁;
herb;潤下藥;郁李仁;
herb;峻下藥;干遂;
herb;峻下藥;大戟;
herb;峻下藥;芫花;
herb;峻下藥;巴豆;
herb;峻下藥;牽牛子;
herb;峻下藥;商陸;
herb;祛風除濕藥;獨活;
herb;祛風除濕藥;防己;
herb;祛風除濕藥;秦艽;
herb;祛風除濕藥;威靈仙;
herb;祛風除濕藥;木瓜;
herb;祛風除濕藥;桑枝;
herb;祛風除濕藥;桑寄生;
herb;祛風除濕藥;絡石藤;
herb;祛風除濕藥;五加皮;
