"group";"type";"answer";"description";"hints";"params"
"points_feature";"select_all";"[肺經募穴]";"{name}是？";;"{"name":"中府"}"
"points_feature";"select_all";"[肺經合穴]";"{name}是？";;"{"name":"尺澤"}"
"points_feature";"select_all";"[肺經郄穴]";"{name}是？";;"{"name":"孔最"}"
"points_feature";"select_all";"[肺經絡穴,任脈八脈八法穴,十總頭項穴,天星十二穴]";"{name}是？";;"{"name":"列缺"}"
"points_feature";"select_all";"[肺經經穴]";"{name}是？";;"{"name":"經渠"}"
"points_feature";"select_all";"[肺經俞穴,八會脈穴]";"{name}是？";;"{"name":"太淵"}"
"points_feature";"select_all";"[肺經滎穴]";"{name}是？";;"{"name":"魚際"}"
"points_feature";"select_all";"[肺經井穴]";"{name}是？";;"{"name":"少商"}"
"points_feature";"select_all";"[大腸經井穴]";"{name}是？";;"{"name":"商陽"}"
"points_feature";"select_all";"[大腸經滎穴]";"{name}是？";;"{"name":"二間"}"
"points_feature";"select_all";"[大腸經俞穴]";"{name}是？";;"{"name":"三間"}"
"points_feature";"select_all";"[大腸經原穴,十總面口穴,天星十二穴,回陽九穴]";"{name}是？";;"{"name":"合谷"}"
"points_feature";"select_all";"[大腸經經穴]";"{name}是？";;"{"name":"陽谿"}"
"points_feature";"select_all";"[大腸經絡穴]";"{name}是？";;"{"name":"偏歷"}"
"points_feature";"select_all";"[大腸經郄穴]";"{name}是？";;"{"name":"溫溜"}"
"points_feature";"select_all";"[大腸經合穴,天星十二穴]";"{name}是？";;"{"name":"曲池"}"
"points_feature";"select_all";"[大腸經募穴]";"{name}是？";;"{"name":"天樞"}"
"points_feature";"select_all";"[胃經郄穴]";"{name}是？";;"{"name":"梁丘"}"
"points_feature";"select_all";"[胃經合穴,胃經腑合穴,十總肚腹穴,天星十二穴,回陽九穴]";"{name}是？";;"{"name":"足三里"}"
"points_feature";"select_all";"[大腸經腑合穴]";"{name}是？";;"{"name":"上巨虛"}"
"points_feature";"select_all";"[小腸經腑合穴]";"{name}是？";;"{"name":"下巨虛"}"
"points_feature";"select_all";"[胃經絡穴]";"{name}是？";;"{"name":"豐隆"}"
"points_feature";"select_all";"[胃經經穴]";"{name}是？";;"{"name":"解谿"}"
"points_feature";"select_all";"[胃經原穴]";"{name}是？";;"{"name":"衝陽"}"
"points_feature";"select_all";"[胃經俞穴]";"{name}是？";;"{"name":"陷谷"}"
"points_feature";"select_all";"[胃經滎穴,天星十二穴]";"{name}是？";;"{"name":"內庭"}"
"points_feature";"select_all";"[胃經井穴]";"{name}是？";;"{"name":"厲兌"}"
"points_feature";"select_all";"[脾經井穴]";"{name}是？";;"{"name":"隱白"}"
"points_feature";"select_all";"[脾經滎穴]";"{name}是？";;"{"name":"大都"}"
"points_feature";"select_all";"[脾經俞穴]";"{name}是？";;"{"name":"太白"}"
"points_feature";"select_all";"[脾經絡穴,衝脈八脈八法穴,十總安胎穴]";"{name}是？";;"{"name":"公孫"}"
"points_feature";"select_all";"[脾經經穴]";"{name}是？";;"{"name":"商丘"}"
"points_feature";"select_all";"[十總婦科穴,回陽九穴]";"{name}是？";;"{"name":"三陰交"}"
"points_feature";"select_all";"[脾經郄穴]";"{name}是？";;"{"name":"地機"}"
"points_feature";"select_all";"[脾經合穴]";"{name}是？";;"{"name":"陰陵泉"}"
"points_feature";"select_all";"[絡穴]";"{name}是？";;"{"name":"大包"}"
"points_feature";"select_all";"[心經合穴]";"{name}是？";;"{"name":"少海"}"
"points_feature";"select_all";"[心經經穴]";"{name}是？";;"{"name":"靈道"}"
"points_feature";"select_all";"[心經絡穴,天星十二穴]";"{name}是？";;"{"name":"通里"}"
"points_feature";"select_all";"[心經郄穴]";"{name}是？";;"{"name":"陰郄"}"
"points_feature";"select_all";"[心經俞穴]";"{name}是？";;"{"name":"神門"}"
"points_feature";"select_all";"[心經滎穴]";"{name}是？";;"{"name":"少府"}"
"points_feature";"select_all";"[心經井穴]";"{name}是？";;"{"name":"少衝"}"
"points_feature";"select_all";"[小腸經井穴]";"{name}是？";;"{"name":"少澤"}"
"points_feature";"select_all";"[小腸經滎穴]";"{name}是？";;"{"name":"前谷"}"
"points_feature";"select_all";"[小腸經俞穴,督脈八脈八法穴]";"{name}是？";;"{"name":"後谿"}"
"points_feature";"select_all";"[小腸經原穴]";"{name}是？";;"{"name":"腕骨"}"
"points_feature";"select_all";"[小腸經經穴]";"{name}是？";;"{"name":"陽谷"}"
"points_feature";"select_all";"[小腸經郄穴]";"{name}是？";;"{"name":"養老"}"
"points_feature";"select_all";"[小腸經絡穴]";"{name}是？";;"{"name":"支正"}"
"points_feature";"select_all";"[小腸經合穴]";"{name}是？";;"{"name":"小海"}"
"points_feature";"select_all";"[八會骨穴]";"{name}是？";;"{"name":"大杼"}"
"points_feature";"select_all";"[肺經俞穴]";"{name}是？";;"{"name":"肺俞"}"
"points_feature";"select_all";"[心包經俞穴]";"{name}是？";;"{"name":"厥陰俞"}"
"points_feature";"select_all";"[心經俞穴]";"{name}是？";;"{"name":"心俞"}"
"points_feature";"select_all";"[八會血穴]";"{name}是？";;"{"name":"膈俞"}"
"points_feature";"select_all";"[肝經俞穴]";"{name}是？";;"{"name":"肝俞"}"
"points_feature";"select_all";"[膽經俞穴]";"{name}是？";;"{"name":"膽俞"}"
"points_feature";"select_all";"[脾經俞穴]";"{name}是？";;"{"name":"脾俞"}"
"points_feature";"select_all";"[胃經俞穴]";"{name}是？";;"{"name":"胃俞"}"
"points_feature";"select_all";"[三焦經俞穴]";"{name}是？";;"{"name":"三焦俞"}"
"points_feature";"select_all";"[腎經俞穴]";"{name}是？";;"{"name":"腎俞"}"
"points_feature";"select_all";"[大腸經俞穴]";"{name}是？";;"{"name":"大腸俞"}"
"points_feature";"select_all";"[小腸經俞穴]";"{name}是？";;"{"name":"小腸俞"}"
"points_feature";"select_all";"[膀胱經俞穴]";"{name}是？";;"{"name":"膀胱俞"}"
"points_feature";"select_all";"[三焦經腑合穴]";"{name}是？";;"{"name":"委陽"}"
"points_feature";"select_all";"[膀胱經合穴,膀胱經腑合穴,十總腰背穴,天星十二穴]";"{name}是？";;"{"name":"委中"}"
"points_feature";"select_all";"[天星十二穴]";"{name}是？";;"{"name":"承山"}"
"points_feature";"select_all";"[膀胱經絡穴]";"{name}是？";;"{"name":"飛揚"}"
"points_feature";"select_all";"[陽蹻脈郄穴]";"{name}是？";;"{"name":"跗陽"}"
"points_feature";"select_all";"[膀胱經經穴,天星十二穴]";"{name}是？";;"{"name":"崑崙"}"
"points_feature";"select_all";"[陰蹻脈八脈八法穴]";"{name}是？";;"{"name":"申脈"}"
"points_feature";"select_all";"[膀胱經郄穴]";"{name}是？";;"{"name":"金門"}"
"points_feature";"select_all";"[膀胱經原穴]";"{name}是？";;"{"name":"京骨"}"
"points_feature";"select_all";"[膀胱經俞穴]";"{name}是？";;"{"name":"束骨"}"
"points_feature";"select_all";"[膀胱經滎穴]";"{name}是？";;"{"name":"通谷"}"
